Year,Quarter,Premium unleaded petrol (95 RON) (cpl),Regular unleaded petrol (91 RON) (cpl),Automotive diesel (cpl),Automotive LPG (cpl)
2010,Q1,136,126,125,62
2010,Q2,139,129,130,60
2010,Q3,135,124,128,54
2010,Q4,136,126,129,61
2011,Q1,148,137,142,73
2011,Q2,154,143,151,72
2011,Q3,152,142,146,69
2011,Q4,154,142,149,68
2012,Q1,156,145,150,75
2012,Q2,158,146,152,73
2012,Q3,152,139,146,63
2012,Q4,153,142,150,75
2013,Q1,155,145,150,70
2013,Q2,151,141,146,64
2013,Q3,160,150,155,73
2013,Q4,159,148,159,80
2014,Q1,165,154,161,89
2014,Q2,162,151,158,77
2014,Q3,157,147,155,74
2014,Q4,147,136,147,70
2015,Q1,131,120,129,60
2015,Q2,148,136,132,59
2015,Q3,146,133,130,56
2015,Q4,137,125,126,59
2016,Q1,137,112,114,60
2016,Q2,128,119,115,62
2016,Q3,127,115,118,59
2016,Q4,134,123,124,64
2017,Q1,141,130,130,71
2017,Q2,138,126,128,70
2017,Q3,135,123,126,68
2017,Q4,149,136,133,77
2018,Q1,149,136,139,80
2018,Q2,159,146,149,78
2018,Q3,159,148,154,80
2018,Q4,155,143,157,83
2019,Q1,143,131,143,72
2019,Q2,159,146,149,76
2019,Q3,156,142,146,72
2019,Q4,164,150,148,71
2020,Q1,154,139,145,77
2020,Q2,125,110,120,70
2020,Q3,137,123,118,70
2020,Q4,139,123,117,69
2021,Q1,149,134,126,76
2021,Q2,159,143,135,80
2021,Q3,169,153,145,82
2021,Q4,180,164,160,96
2022,Q1,197,182,182,101
2022,Q2,204,189,206,100
2022,Q3,195,180,210,96
2022,Q4,199,184,222,95
2023,Q1,199,183,199,101
2023,Q2,199,184,186,100
2023,Q3,213,197,202,91
2023,Q4,212,196,209,96
2024,Q1,211,195,196,97
2024,Q2,216,198,195,98
2024,Q3,201,184,186,100
2024,Q4,198,181,177,99
2025,Q1,201,183,187,101
2025,Q2,194,177,179,102
2025,Q3,198,181,183,105
2025,Q4,200,182,186,101